      4 cows
      4 cousin
      4 court
      4 course
      4 counsellor
      4 consecration
      4 compound
      4 composer
      4 companion
      4 combination
      4 collections
      4 coast
      4 chiefs
      4 chamberlain
      4 cave
      4 brihat
      4 breath
      4 bindu
      4 bhushana
      4 bhu
      4 bhikṣu
      4 barber
      4 b
      4 arrangement
      4 appearance
      4 aphorisms
      4 apast
      4 antelope
      4 act
      4 accent
      4 acara
      4 Varuṇa
      4 Vam
      4 Tīrthas
      4 R.
      4 Purāṇas
      4 Praja
      4 Mantras
      4 Jatakam
      4 Dhūrtas
      4 Commentator
      4 Br
      4 AgP.
      4 6th
      4 5th
      4 22nd
      4 1st
      4 12th
      3 śāstra
      3 śiva
      3 ādi
      3 xxi
      3 writing
      3 wealth
      3 warriors
      3 wIkA
      3 vritti
      3 vrit
      3 voc
      3 vidhi
      3 vajra
      3 va
      3 turmeric
      3 trunk
      3 tribes
      3 tri
      3 treatment
      3 trade
      3 tax
      3 tattva
      3 successor
      3 substances
      3 subjects
      3 subdivisions
      3 su
      3 stream
      3 stava
      3 spot
      3 sources
      3 sounds
      3 soma
      3 singer
      3 shulbas
      3 shruti
      3 shrutab
      3 shlokas
      3 shibi
      3 shaya
      3 shastrin
      3 sharngS.
      3 shankha
      3 shakyamuni
      3 shaktir
      3 shad
      3 shaci
      3 service
      3 serpents
      3 sentences
      3 seasons
      3 schools
      3 scale
      3 saura
      3 samhara
      3 sacrifices
      3 rāsnā
      3 rāja
      3 rāga
      3 ruler
      3 refutation
      3 ratnâkara
      3 rank
      3 pāṭha
      3 province
      3 prose
      3 properties
      3 progenitress
      3 prithu
      3 princesses
      3 possession
      3 poison
      3 phonetics
      3 performance
      3 perfections
      3 perfection
      3 peaks
      3 passages
      3 passage
      3 parni
      3 paradigms
      3 pani
      3 padmā
      3 pad
      3 ornament
      3 orders
      3 omens
      3 nabha
      3 na
      3 mīḍha
      3 māra
      3 māhātmya
      3 mouth
      3 mouse
      3 monarch
      3 model
      3 mithya-
      3 minerals
      3 metrics
      3 medica
      3 mathura
      3 materia
      3 masa
      3 marks
      3 maha
      3 lxvi
      3 lover
      3 lotus
      3 legends
      3 laws
      3 lakṣaṇa
      3 krama
      3 knowledge
      3 killer
      3 kavi
      3 kalpa
      3 jātaka
      3 jata
      3 invocations
      3 introduction
      3 interpretation
      3 index
      3 illness
      3 i.
      3 houses
      3 heat
      3 hasta
      3 hamsa
      3 gupta
      3 guardians
      3 guardian
      3 gu
      3 granddaughter
      3 grammars
      3 grama
      3 god
      3 goblin
      3 gloss
      3 giver
      3 gems
      3 gaṇa
      3 gate
      3 gana
      3 game
      3 gambler
      3 funeral
      3 fortress
      3 figures
      3 faculty
      3 exploits
      3 existent
      3 events
      3 epithet
      3 empire
      3 emperor
      3 effort
      3 ear
      3 dwelling
      3 dwarf
      3 dvāra
      3 doctrines
      3 districts
      3 distance
      3 direction
      3 diagrams
      3 dhāna
      3 dhanus
      3 dh
      3 descent
      3 definition
      3 dawn
      3 dasa
      3 darkness
      3 dance
      3 cup
      3 cucumber
      3 crows
      3 conversation
      3 continent
      3 contents
      3 contemporary
      3 consequence
      3 connection
      3 commentators
      3 comm
      3 code
      3 cloth
      3 cit
      3 chariot
      3 chain
      3 cavity
      3 cavern
      3 castes
      3 cara
      3 canon
      3 candrika
      3 campū
      3 campu
      3 bow
      3 births
      3 bidadi
      3 bhṛt
      3 bharata
      3 balasura
      3 b.
      3 axes
      3 authority
      3 authorities
      3 asterisms
      3 assistant
      3 aperture
      3 antidote
      3 angirasa
      3 ancestress
      3 amulet
      3 aloka
      3 agni
      3 aggregate
      3 ages
      3 affixes
      3 affix
      3 adversary
      3 Vishva
      3 Sukh
      3 Prâyashc
      3 Pada
      3 P
      3 Mricch
      3 Mood
      3 Linga
      3 KaushBr
      3 KalP.
      3 GṛS.
      3 Garuḍa
      3 Ganges
      3 Dhanamj
      3 Commentary
      3 Brih
      3 Benares
      3 Anga
