slno,keywords_in_comments
10923,place
10924,"faeces,insect"
10926,weapon
10927,"king,MBh"
10928,plant
10929,MBh
10930,MBh
10931,
10932,"rite,day"
10933,"son,Bomb,ed"
10934,son
10935,MBh
10936,man
10937,plant
10938,
10939,minister
10940,river
10941,
10942,"iii,MBh"
10943,
10944,
10945,
10946,
10947,festival
10948,chapter
10949,poet
10950,poetess
10951,day
10952,
10953,"grammar,prob"
10954,
10955,
10956,
10958,
10959,shiva
10960,
10962,MBh
10963,
10964,i.
10965,
10966,shish
10967,grass
10968,
10969,wife
10970,"demon,disease"
10971,lexicographer
10972,"teller,fortune"
10973,"occasion,ceremonies"
10974,"occasion,ceremonies"
10975,
10977,minister
10979,plant
10980,deities
10981,
10982,MBh
10983,"nights,feast"
10984,man
10985,holidays
10986,holidays
10987,metre
10988,authors
10989,plant
10990,king
10991,ceremony
10992,son
10993,
10994,
10995,demon
10996,Tar
10997,"son,MBh"
10998,"warrior,tribe,ashmakas"
10999,women
11000,MBh
11001,plant
11002,plant
11003,"plant,shBr,ŚBr"
